iter	RMSE
0	0.4029306232
1	0.4016819437
2	0.4004513098
3	0.3992117451
4	0.397949311
5	0.3966575338
6	0.3954518048
7	0.3942179506
8	0.3929961708
9	0.3918556759
10	0.3906055831
11	0.389365888
12	0.3880847035
13	0.3869787734
14	0.3856937412
15	0.3845055324
16	0.3832754886
17	0.3821391857
18	0.3809800149
19	0.3797961072
20	0.3786076188
21	0.3774526525
22	0.3763481088
23	0.3752815456
24	0.3741668877
25	0.373056109
26	0.3719461527
27	0.3708448894
28	0.3696956079
29	0.3685808403
30	0.3675012674
31	0.3663242507
32	0.3652093478
33	0.3642095208
34	0.3631249977
35	0.3621146404
36	0.3610621486
37	0.3600033021
38	0.358978088
39	0.3580107493
40	0.3569374367
41	0.3558245541
42	0.3547739962
43	0.3536827091
44	0.3526229123
45	0.3515287335
46	0.3504941938
47	0.3494862616
48	0.3484330266
49	0.3475119508
50	0.3465867308
51	0.3455097828
52	0.344548904
53	0.3435669812
54	0.3425450506
55	0.3415446366
56	0.3405861866
57	0.3395913103
58	0.3386729432
59	0.3376924313
60	0.3367185501
61	0.3357813472
62	0.3347785135
63	0.3337704668
64	0.3328751056
65	0.3319428113
66	0.3310679251
67	0.3301182822
68	0.3292073777
69	0.3282528045
70	0.3273001477
71	0.3264507045
72	0.3255290359
73	0.3245938903
74	0.3237323624
75	0.3228014081
76	0.3219536223
77	0.3210335953
78	0.3201192548
79	0.3192464151
80	0.3183345739
81	0.3174414036
82	0.3165037757
83	0.3157034373
84	0.3147644141
85	0.3138873144
86	0.3130654296
87	0.3121729816
88	0.3112634203
89	0.3104207633
90	0.3095613913
91	0.3086708991
92	0.3078584385
93	0.30708801
94	0.3062437355
95	0.3054408105
96	0.304624474
97	0.3038067081
98	0.3029641903
99	0.3021660635
100	0.3013673564
101	0.3006315387
102	0.29984608
103	0.2991286348
104	0.2982777782
105	0.2975572883
106	0.2967460022
107	0.2959720726
108	0.2952461445
109	0.2944277319
110	0.293658705
111	0.2929079577
112	0.2921362937
113	0.2913823316
114	0.2905995942
115	0.2898551004
116	0.2891206016
117	0.2883493283
118	0.2875772548
119	0.2868137571
120	0.2860664147
121	0.2853394388
122	0.2846345387
123	0.2839428599
124	0.2831858215
125	0.2824850937
126	0.2818239069
127	0.281185185
128	0.2805628597
129	0.2798463583
130	0.2791436141
131	0.2784367037
132	0.2777809936
133	0.277089043
134	0.276370522
135	0.2757636207
136	0.275113198
137	0.2743940071
138	0.2736820842
139	0.2730460033
140	0.2723534491
141	0.271669987
142	0.2709632262
143	0.2702888972
144	0.2696157553
145	0.2689551745
146	0.2682822133
147	0.2676065121
148	0.2669096668
149	0.2662708995
150	0.2656276524
151	0.2649702901
152	0.2643111078
153	0.2636602627
154	0.2629957837
155	0.2623666053
156	0.2617562298
157	0.2611681658
158	0.2605727314
159	0.2599429191
160	0.2593531898
161	0.2587487158
162	0.2581905519
163	0.257595609
164	0.2570086185
165	0.2564305465
166	0.2558630166
167	0.255259842
168	0.254648909
169	0.2540816998
170	0.2535068825
171	0.2528994433
172	0.2523915095
173	0.2518128883
174	0.2512261031
175	0.2506935919
176	0.2501589945
177	0.2496272534
178	0.2490549869
179	0.2484964636
180	0.2479437218
181	0.247394203
182	0.246885485
183	0.2463705632
184	0.2458677588
185	0.2453110741
186	0.244786547
187	0.244244211
188	0.2437577821
189	0.2432022522
190	0.2426168187
191	0.2420907354
192	0.2416010146
193	0.2410446652
194	0.2405475828
195	0.2400204885
196	0.2394911756
197	0.2389772625
198	0.2384530547
199	0.2379486079
200	0.2374528533
201	0.2369807519
202	0.2364611226
203	0.2359285962
204	0.2354197173
205	0.234943248
206	0.2344205213
207	0.2339279286
208	0.2334252119
209	0.2329302003
210	0.2324346681
211	0.2318916891
212	0.2314174195
213	0.2309519201
214	0.2304931702
215	0.2300675608
216	0.2296019767
217	0.2291195602
218	0.2286319573
219	0.2281932329
220	0.2277458126
221	0.2272622974
222	0.2268165397
223	0.2263539023
224	0.2259047993
225	0.2254420983
226	0.2250036926
227	0.2245404158
228	0.2241227094
229	0.2237111524
230	0.2232960283
231	0.2228503389
232	0.2224060011
233	0.2220087211
234	0.2215813555
235	0.2211763474
236	0.2207473587
237	0.2202846573
238	0.2198512238
239	0.2194243989
240	0.2190151309
241	0.2185969026
242	0.2181501047
243	0.2177294279
244	0.2173453042
245	0.2169065115
246	0.2164688361
247	0.2160409476
248	0.2156184571
249	0.215203403
250	0.2148137425
251	0.2144208804
252	0.2140501287
253	0.2136650237
254	0.2132752436
255	0.2128784007
256	0.2124871925
257	0.2120588372
258	0.2116572706
259	0.2112371467
260	0.2108294582
261	0.2104632151
262	0.210126288
263	0.2097378924
264	0.2093494046
265	0.2089429533
266	0.2085593139
267	0.2081823552
268	0.2078089002
269	0.2074732217
270	0.2071175988
271	0.2067475606
272	0.2063612209
273	0.2059970572
274	0.205618065
275	0.2052298584
276	0.2048920131
277	0.2045602388
278	0.204196899
279	0.2038589289
280	0.2034898508
281	0.2031195384
282	0.2027802795
283	0.2024398501
284	0.2021048316
285	0.2017969398
286	0.2014695248
287	0.2011251806
288	0.2007627811
289	0.2004272159
290	0.200091275
291	0.1997535527
292	0.1994091154
293	0.1991184606
294	0.1987634554
295	0.1984250691
296	0.198088369
297	0.1977916575
298	0.1974755299
299	0.1971605769
300	0.1968660899
301	0.1965617335
302	0.1962563565
303	0.1959127611
304	0.195586803
305	0.1953007824
306	0.1950210545
307	0.1946895533
308	0.1943478846
309	0.1940328797
310	0.1937293043
311	0.1934256374
312	0.193136896
313	0.1928347924
314	0.1925256855
315	0.1921985531
316	0.1919272559
317	0.1916283107
318	0.191330035
319	0.1910423785
320	0.1907800543
321	0.1905159646
322	0.1902260094
323	0.1899133567
324	0.1896333227
325	0.1893565312
326	0.1890724528
327	0.1887789821
328	0.1884955506
329	0.1881871083
330	0.1879110534
331	0.1876190659
332	0.1873479528
333	0.1870831276
334	0.1868188397
335	0.1865206358
336	0.1862384497
337	0.185953814
338	0.1857083261
339	0.1854419184
340	0.1851835937
341	0.1849216678
342	0.1846507554
343	0.1843862423
344	0.1841068533
345	0.1838849751
346	0.1836324439
347	0.1833836845
348	0.1831219573
349	0.1828690205
350	0.1825937235
351	0.1823412863
352	0.1820911981
353	0.1818235999
354	0.181582286
355	0.1813204054
